Mitigation,Response,mean,lcl,ucl,rel.mean,rel.lcl,rel.ucl
LEB,BPUE,-0.077859093256923,-0.486358469886661,0.393332441813836,-0.0800310347392227,-0.443599426937472,0.358751942420567
Kite,BPUE,-0.137848724745154,-0.487973322746129,0.209312112461618,-0.132074254200001,-0.468499054417366,0.200958786465028
LEB,CPUE,28.4209824183787,-20.4314139736223,83.2875587531502,0.159744290845864,-0.118077556849819,0.48133680156715
Kite,CPUE,-44.9527912616599,-78.3483262650623,-14.0292928752242,-0.242486784446982,-0.42695358601175,-0.0764516255525564
LEB,CORM_PUE,0.116885514943339,-0.231871598394239,0.566611772835758,0.171296754103254,-0.400068258889179,0.97762462929632
Kite,CORM_PUE,-0.135887748466493,-0.332315380230609,0.0542030394231649,-0.225910557025529,-0.559571908863911,0.0912702211230742
LEB,GUIL_PUE,-0.145596799223344,-0.275190028382582,-0.0417566281685157,-0.307174011637444,-0.600844462564291,-0.0911705956711795
Kite,GUIL_PUE,0.0412881845389355,-0.165673939138564,0.293614681849687,0.0802173315450582,-0.402782020636385,0.713828109954065
LEB,GANN_PUE,-0.0457656427886902,-0.136193758918828,0,-0.142857142857143,-0.428571428571429,0
Kite,GANN_PUE,-0.0460925078100954,-0.136193758918828,0,-0.142857142857143,-0.428571428571429,0
